Orthogroup	Willisornis poecilinotus	Acanthisitta chloris	Amazona collaria	Camarhynchus parvulus	Corapipo altera	Corvus brachyrhynchos	Corvus cornix	Cyanistes caeruleus	Empidonax trailli	Erythrura gouldiae	Falco cherug	Falco peregrinus	Ficedula albicollis	Geospiza fortis	Junco hyemalis	Lepidothrix coronata	Lonchura striata	Manacus vitellinus	Melopsittacus undulatus	Neopelma chrysocephalum	Nestor notabilis	Parus major	Pipra filicauda	Pseudopodoces humilis	Serinus canaria	Taeniopygia guttata	Zonotrichia albicollis	Hypocnemis ochrogyna	Rhegmatorhina melanosticta
OG0000159	1	2	4	3	3	3	2	2	3	3	3	3	3	3	3	2	3	2	4	3	3	3	4	3	2	3	4	5	1
OG0000160	4	2	2	3	3	3	2	3	2	3	3	3	3	3	3	3	3	2	2	4	3	3	3	3	3	3	4	3	2
OG0000161	2	3	1	3	3	3	3	3	4	2	4	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	2	4	2
OG0000162	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	2	2
OG0000163	3	2	3	3	3	3	2	5	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3	2	2	2
OG0000164	4	3	4	4	4	4	2	2	3	3	4	4	3	4	1	3	3	2	2	5	3	2	4	2	2	2	2	1	0
OG0000165	3	3	2	3	3	3	2	3	2	1	3	3	3	3	2	3	3	2	3	3	3	2	3	4	3	2	3	6	3
OG0000166	4	3	3	3	3	3	2	4	3	1	3	3	3	2	4	3	2	2	3	3	2	3	3	4	4	4	1	2	1
OG0000167	2	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1
OG0000168	4	2	3	3	4	3	3	3	3	2	2	3	3	2	2	5	5	3	2	3	0	1	3	3	2	4	2	3	3
OG0000169	3	3	3	3	2	3	3	3	2	3	3	3	3	3	2	3	3	3	3	2	3	3	2	3	3	3	4	2	2
OG0000170	3	3	2	3	3	3	3	3	3	2	2	2	3	3	2	3	3	3	4	3	2	3	3	3	3	2	3	3	3
OG0000171	2	3	3	3	3	2	2	4	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	4	2
OG0000172	1	5	3	3	4	2	1	2	4	3	5	4	3	3	1	3	2	1	1	4	3	2	3	3	3	4	2	3	2
OG0000173	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	2
OG0000174	2	2	3	3	3	3	3	2	3	2	3	3	3	4	2	3	3	3	3	3	2	3	3	3	3	2	3	3	2
OG0000175	3	2	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	2	3	3	2	3	3	3	3	2	3	3	2
OG0000176	3	3	2	3	3	1	3	3	3	1	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3
OG0000177	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	2	4	3	3	3	2	3	3	2	4	2	2	2
OG0000178	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	2	2	3	2	3	3	3	3	3	3	2	3	3	2
OG0000179	2	3	3	3	3	2	2	3	3	6	2	2	3	3	3	3	3	3	1	3	3	3	3	3	3	3	2	2	2
OG0000180	4	5	2	2	2	2	2	3	2	2	4	2	2	3	2	2	2	3	2	2	7	2	4	2	2	2	2	5	5
OG0000181	5	2	3	2	3	4	2	2	3	2	2	2	5	4	3	2	2	3	2	3	4	2	3	2	3	3	2	3	2
OG0000182	2	3	3	3	2	3	2	3	2	7	3	3	4	3	3	2	3	2	3	2	1	3	3	3	2	4	3	1	1
OG0000183	3	3	2	2	2	2	2	2	4	6	2	2	2	2	4	2	2	4	5	2	4	2	2	2	4	2	2	3	3
OG0000184	2	3	2	2	3	3	3	3	3	3	3	3	3	3	2	2	3	2	2	3	3	3	3	3	2	3	3	3	3
OG0000185	2	2	4	3	3	3	3	3	3	3	2	2	3	2	3	3	3	3	2	6	2	3	3	3	3	2	3	1	1
